id,company_name
1,mDesign
2,Mecraft
3,Jachi
4,Jaciya
5,Hiware
6,OMIRO
7,Jolitac
8,MATEIN 
9,Trader Joes
10,Certain Dri
11,Daily Ritual
12,Daily Ritual
13,Plus White
14,Ziploc 
15,Zhehechunngfu  LLC
16,LinenSpa
17,Super Top Technology
18,Jiva
19,NOW
20,AmazonBasics
21,Andis
22,Ubisoft
23,Serta
24,Calpak 
25,Accuteck
26,Etekcity
27,ORE International
28,Technivorm Moccamaster
29,Cheerwing
30,Uitee
31,Science Apparel Inc
32,Stargazer Apparel Inc
33,Cat Lovers Apparel Inc
34,Barber's Apparel
35,Audio technica 
36,L'Oreal
37,Douglas Laboratories
38,Souce Naturals
39,Douglas Laboratories
40,Carlson
41,Designer Protein
42,Starbucks
43,Sobe
44,Better Oats
45,Chefs Star
46,Core Kitchen 
47,Zwilling J.A. Henckels Cutlery
48,Trader Joes
49,CC Boards
50,Bar Keepers Friend
51,Cole & Mason
52,Home-X
53,Rubbermaid
54,OXO
55,Sagler
56,Redmon
57,Convenience Concepts
58,Rachael Ray
59,Motorola
60,Checkered Chef
61,Sili Bake
62,Etekcity
63,Gideon
64,BECASO
65,3m
66,Samsung
67,head
68,cepacol
69,2PK
70,Penn
71,Mellanni
72,L'il Critters
73,BLU
74,Carter
75,Under Armour
76,Thermos
77,Under Armor
78,PowerBar
79,Mamia
80,asus
81,saucony
82,Nike
83,Hamilton Beach
84,Alien Pros
85,Skechers
86,MOSISO
87,Amazon
88,Yonex
89,Amazon
90,Amazon
91,The Children's Place
92,Puma
93,Reli On
94,Amazon
95,Tile
96,Febreze
97,Motorola
98,Nature Made
99,Kirkland
100,Duck
101,Wahl 
102,Umite Chef
103,Westinghouse 
104,Sharp
105,Terro
106,Eco-Sensa
107,iHip
108,Tronco
109,EA
110,Crock-Pot
111,Neaterize
112,Opal & Ivy
113,Generics
114,Samsung 
115,Llewellyn Publications
116,Signature
117,lenovo
118,Harney & Sons
119,American Inl. Ind.
120,Microsoft 
121,Trader Joes
122,Amazon
123,Adidas
124,Sckeachers
125,Amazer
126,Ninja
127,GetFit
128,Oral B
129,Amplixin
130,Sony
131,Apple 
132,Acer
133,Sony
134,Cambridge Soundworks
135,Treyarch/Activision
136,WALI
137,LG
138,Amazonbasics
139,Purina
140,Onn
141,Ozark trail
142,Sporti
143,Frigidaire
